Type,Include,ID,Group,Statement,Good (4),Less good (3),Semantic (2) - category/desription,Bad (1),CMP,ESI,MET,MGD,IMG,IMS,IMP,FAM,SRL,ALT,NOTE,Nominal,prompt,values
Nonliterary,1,50,0,The mind is a sponge.,The mind is capable of learning a lot.,The mind is capable of forgetting a lot.,The mind enables a person to be aware.,The mind has a fixed capacity.,6.33,6.55,3.9,4.93,5.13,4.7,5.43,5.6,5.27,2.17,,1,"""The mind is a sponge.""

a) The mind is capable of forgetting a lot.
b) The mind is capable of learning a lot.
c) The mind enables a person to be aware.
d) The mind has a fixed capacity.
",[3 4 2 1]
Nonliterary,1,237,29,Truth is a labyrinth.,Truth can be hard to find.,Truth can be disorienting.,Truth is a virtue.,Truth is simple.,4.21,4.2,3.1,3.93,3.4,3.1,3.63,2.97,3.1,1.45,,1,"""Truth is a labyrinth.""

a) Truth is a virtue.
b) Truth is simple.
c) Truth can be hard to find.
d) Truth can be disorienting.
",[2 1 4 3]
Nonliterary,1,226,0,Our environment is a chamber pot.,Our environment is filthy.,Our environment smells bad.,Our environment is where we live.,Our environment is beautiful.,4.1,4.17,3.13,3.03,2.93,2.8,3.37,2.17,2.77,1.25,,1,"""Our environment is a chamber pot.""

a) Our environment is filthy.
b) Our environment is where we live.
c) Our environment is beautiful.
d) Our environment smells bad.
",[4 2 1 3]
Nonliterary,1,125,0,Evolution is a lottery.,Evolution involves luck.,Evolution is bingo.,Evolution is process.,Evolution is fate.,3.63,3.1,2.43,3.1,2.1,3.17,2.33,2.45,1.97,1.36,,1,"""Evolution is a lottery.""

a) Evolution is bingo.
b) Evolution involves luck.
c) Evolution is process.
d) Evolution is fate.
",[3 4 2 1]
Nonliterary,1,152,3,A forest is a harmonica.,There is always noise in the forest.,A forest is relaxing.,A forest is a collection of trees.,A forest is scary.,3.7,3.37,2.53,2.6,2.23,3.03,2.57,2.03,2.6,1.43,,1,"""A forest is a harmonica.""

a) There is always noise in the forest.
b) A forest is scary.
c) A forest is relaxing.
d) A forest is a collection of trees.
",[4 1 3 2]
Nonliterary,1,113,3,A forest is a harp.,A forest is relaxing.,There is always noise in the forest.,A forest is a collection of trees.,A forest is scary.,3.63,3.57,2.37,2.8,2.43,2.66,2.67,2.04,1.93,1.32,,1,"""A forest is a harp.""

a) A forest is relaxing.
b) A forest is a collection of trees.
c) A forest is scary.
d) There is always noise in the forest.
",[4 2 1 3]
Literary,1,147,0,A photograph is a one-sided skin of truth.,The amount of information you can show on a photograph is limited.,Photographs never mislead.,A photograph is a two-dimensional representation of the physical world from a specific moment in space and time.,The amount of information you can show on a photograph is unlimited.,5.33,5.53,3.9,3.97,4.63,4.5,3.57,4.43,4.6,1.83,,1,"""A photograph is a one-sided skin of truth.""

a) The amount of information you can show on a photograph is limited.
b) A photograph is a two-dimensional representation of the physical world from a specific moment in space and time.
c) The amount of information you can show on a photograph is unlimited.
d) Photographs never mislead.
",[4 2 1 3]
Nonliterary,1,173,21,The skyscraper is the giraffe of buildings.,The skyscraper is the tallest of buildings.,The skyscraper moves slowly.,The skyscraper is a company headquarters.,The skycraper is the smallest of buildings.,5.9,6.31,3.59,4.37,5.2,4.73,5.41,3.25,4.14,1.45,,1,"""The skyscraper is the giraffe of buildings.""

a) The skyscraper moves slowly.
b) The skyscraper is the tallest of buildings.
c) The skyscraper is a company headquarters.
d) The skycraper is the smallest of buildings.
",[3 4 2 1]
Nonliterary,1,207,0,Marriage is an alloy.,Marriage keeps people together.,Marriage is durable.,Marriage is a formal union of two people.,Marriage is temporary.,4.87,4.97,3.5,3.8,3.77,3.8,3.6,3.03,3.5,1.69,,1,"""Marriage is an alloy.""

a) Marriage is durable.
b) Marriage is a formal union of two people.
c) Marriage is temporary.
d) Marriage keeps people together.
",[3 2 1 4]
Literary,1,119,0,Despair is a living tree feeding on death.,Despair is sustained by death.,Despair tastes bad.,Despair is the absence of hope.,Despair is sustained by positivity.,5.03,4.47,3.13,4.53,3.77,3.3,4.03,4.67,3.8,1.57,,1,"""Despair is a living tree feeding on death.""

a) Despair is sustained by death.
b) Despair is sustained by positivity.
c) Despair tastes bad.
d) Despair is the absence of hope.
",[4 1 3 2]
